Price,Close,High,Low,Open,Volume
Ticker,HSBA.L,HSBA.L,HSBA.L,HSBA.L,HSBA.L
Date,,,,,
2022-04-07,520.9149169921875,527.4088694315919,519.9158473861253,524.0120083796326,19791994
2022-04-08,529.5068359375,530.8056140941269,523.9120711189396,526.9092796242462,21797956
2022-04-11,532.8037719726562,535.3014458155606,528.0082503899532,530.3060981297521,28233381
2022-04-12,518.8168334960938,527.4088686830561,517.4171360043332,526.110029414323,31542404
2022-04-13,517.7178955078125,524.3117306877881,517.6179519575879,520.3154521597129,25845426
2022-04-14,521.9140014648438,522.0138840369473,513.7216182661016,514.5208617780437,27738362
2022-04-19,525.1110229492188,528.6077669859235,519.316430741212,521.9140486126472,23158857
2022-04-20,537.4993896484375,540.5964806993045,523.3125905884382,525.710381773754,31162658
2022-04-21,536.4004516601562,537.4994037448687,533.3032995497006,537.4994037448687,34172720
2022-04-22,522.8131713867188,534.402416705936,522.4135800864276,531.0055552723915,22119300
2022-04-25,501.1332702636719,514.8205042011675,500.1342007577591,514.121143351356,36966972
2022-04-26,473.4090881347656,496.4376278879191,472.16025126118507,488.7947523194422,52251410
2022-04-27,485.8475036621094,496.1878794682084,479.80314515874977,481.6514299000921,46378373
2022-04-28,493.59033203125,501.632860740765,488.99463618488153,494.03992555452675,29883159
2022-04-29,500.8335876464844,515.1202709978737,487.69582825873516,492.54132200714963,52447082
2022-05-03,512.3228149414062,512.3228149414062,501.03334206171,503.4311027055451,30790263
2022-05-04,514.9205322265625,520.9149502455988,514.9205322265625,519.5162283164743,23531567
2022-05-05,507.52734375,522.5133873646654,505.72903071191365,521.1146655692829,36324977
2022-05-06,501.5329284667969,509.12586336213894,500.33403277678036,508.92603725074156,30037627
2022-05-09,492.2415771484375,504.829829027448,491.9418379913478,503.2313421463681,15352245
2022-05-10,495.23883056640625,502.3322005878723,495.23883056640625,499.38496345634104,22181402
2022-05-11,498.98529052734375,503.13142299207897,493.5403493760043,497.83633617287546,49916373
2022-05-12,482.9501953125,491.24249054375383,477.5052847733936,490.5431296906809,36686103
2022-05-13,500.9334716796875,500.9334716796875,491.9918174041731,491.9918174041731,48084577
2022-05-16,498.08612060546875,502.9316141049413,494.98902933803805,495.93812713350815,20455046
2022-05-17,501.9325256347656,504.43019945907196,496.18787583886103,499.2849974788374,28301054
2022-05-18,495.0389709472656,498.9353361646546,493.1906861486167,498.1860339886496,49059172
2022-05-19,485.4478759765625,494.8890951810913,483.64956302769144,493.49040394428243,36961812
2022-05-20,490.29339599609375,500.43394612721335,490.1934829403362,495.53851128693327,38422967
2022-05-23,500.53387451171875,500.53387451171875,490.39332407004684,493.24067855582473,37160656
2022-05-24,518.417236328125,521.7141537901722,494.28968125982016,497.43674438071685,69815063
2022-05-25,520.8150024414062,524.2118636824889,516.818723794661,521.1147111442376,41656525
2022-05-26,524.8110961914062,525.5104569038688,516.3190070589293,517.3180763686324,21981132
2022-05-27,531.9046630859375,533.7029761150015,521.0147803892355,523.7122804220153,22322780
2022-05-30,528.108154296875,532.5040848294029,525.5105977866153,532.3042587182211,21786919
2022-05-31,532.504150390625,534.3024636559314,523.2128143712291,524.711418922047,98756041
2022-06-01,529.1072387695312,536.3005521260026,527.8084604778389,533.5031694258108,41941708
2022-06-06,533.003662109375,538.2987190967926,528.8075573535142,530.2062792649253,51595327
2022-06-07,528.8074951171875,533.0035993792011,527.0091821415718,528.4079038883648,21263058
2022-06-08,519.7159423828125,525.5105330227525,516.5189079330096,522.6132072136024,25291277
2022-06-09,511.32379150390625,520.0157089207331,510.4246349926581,516.119313223352,36643147
2022-06-10,498.6356506347656,512.1930021301181,497.33684184256094,510.52457294804753,24271324
2022-06-13,502.4320983886719,507.727185590074,499.1351808869796,506.5282898680851,46714611
2022-06-14,519.915771484375,522.7131537772896,511.7733309923232,515.0203067380041,45899669
2022-06-15,530.1063232421875,536.8001019835547,524.4356396127573,524.5115576848971,100899252
2022-06-16,511.1239929199219,531.00547106321,510.0250103062441,527.7085537113602,73852136
2022-06-17,508.22674560546875,523.7123252552659,506.92793676068374,516.9186637981262,80376964
2022-06-20,536.9998779296875,541.7454582462755,510.8242437772557,512.0231394213299,46212984
2022-06-21,538.2987060546875,545.1923109136073,531.305218623818,532.5041143790697,31728545
2022-06-22,533.103515625,537.1997375832117,529.2071807613773,531.5050286519809,53508538
2022-06-23,526.1100463867188,539.1978952167965,524.7113854821174,533.8028947863261,37274569
2022-06-24,536.800048828125,536.800048828125,524.0119709789356,527.8084230153311,30932525
2022-06-27,538.098876953125,540.5965510217495,531.5050418033045,537.4994595680034,49272132
2022-06-28,545.2921142578125,549.0885661158653,537.49938444847,540.4965929119372,38416400
2022-06-29,551.5862426757812,554.9331620642386,541.1959565359411,541.7953738403763,24696936
